Sample,Peak ID,Peak Center (Theta),Tilt Angle (Chi),FWHM (deg),Net Height,Net Area (cts deg)
SH-124-B3,B3_Peak_9.22,9.307767479014199,-5.4122325209858015,0.8003779647845033,3846.130556117974,3276.5603270541656
SH-124-B3,B3_Peak_10.60,10.332961272549467,-4.387038727450534,1.1774999999999998,4470.532949627909,5602.98214710342
SH-124-B3,B3_Peak_12.10,12.14093138897113,-2.5790686110288714,0.5836255485129016,2963.0594567168573,1840.6604633066497
SH-124-B3,B3_Peak_12.92,12.615512797377447,-2.104487202622554,0.942,3203.029616071229,3211.521840049848
SH-124-B3,B3_Peak_15.70,15.999999592801611,1.2799995928016106,0.11775000000228812,1.9766041659873933e-13,2.4773059451568525e-14
SH-124-B3,B3_Peak_16.19,16.000000000329845,1.280000000329844,0.11775000000000059,583.4489392466822,73.12448039596029
SH-124-B3,B3_Peak_17.10,17.19999999999098,2.4799999999909783,0.11775000000000004,1.4303171650277124e-13,1.7926367237742596e-14
SH-124-B3,B3_Peak_17.50,17.49999964842267,2.7799996484226686,0.11775000000057118,7.427665939720276e-15,9.3091987295534e-16
SH-124-B3,B3_Peak_22.34,22.100000000001415,7.380000000001415,0.2454577042530769,126.17301748747913,32.96417266070139
SH-125-A,A_Broad_Specular_Peak,14.535241704862749,-0.13600829513725188,5.892864148827441,8285.575627607852,51969.45203560391
