Sample,Phi (degrees),Peak Name,Peak Center (Theta),Tilt Angle (Chi),FWHM (degrees),Net Height,Net Area (cts deg),Area/Base Ratio
SH-124-B3,0,Peak 1 (Tilt),10.136811276941815,-4.590859295552111,0.28512219786964677,2936.157919248791,891.0651590844496,891.0651590844496
SH-124-B3,0,Peak 1b (Tilt),10.400000029934752,-4.327670542559174,0.0,0.0,0.0,0.0
SH-124-B3,0,Peak 2a (Tilt),12.299987510339504,-2.427683062154422,0.0,0.0,0.0,0.0
SH-124-B3,0,Peak 2b (Tilt),12.421087162930213,-2.3065834095637126,0.0,0.0,0.0,0.0
SH-124-B3,0,Peak 3 (Near-specular),15.365015525468827,0.6373449529749013,0.649962683170932,1654.0265346009166,1144.2737046380273,1144.2737046380273
SH-124-B3,0,Peak 4 (Near-specular),16.1000003939252,1.3723298214312738,0.6499799818567892,2023.6497868595661,1400.0203864598618,1400.0203864598618
SH-124-B3,0,Minor Peak A (Tilt),16.930750593963854,2.203080021469928,0.6398007343520467,1264.054139189133,860.814218873532,860.814218873532
SH-124-B3,0,Minor Peak B (Tilt),17.682856468694556,2.9551858962006303,0.6499788607665777,1141.5553269310558,789.7601570018936,789.7601570018936
SH-124-B3,0,Peak 5 (Tilt),22.639589461316408,7.911918888822482,0.0,0.0,0.0,0.0
SH-124-B3,30,Peak 1 (Tilt),9.482434080268026,-5.243281150541481,0.5760716616075336,2937.487704308766,1801.1570895752793,1801.1570895752793
SH-124-B3,30,Peak 1b (Tilt),10.935082405049643,-3.7906328257598645,0.4463121489657698,1231.2974735035655,584.9257221257919,584.9257221257919
SH-124-B3,30,Peak 2a (Tilt),11.772279115511406,-2.9534361152981017,0.0,0.0,0.0,0.0
SH-124-B3,30,Peak 2b (Tilt),13.29759349848896,-1.4281217323205482,0.6499799999999999,2597.370842772007,1796.9375215976718,1796.9375215976718
SH-124-B3,30,Peak 3 (Near-specular),15.978955993417516,1.2532407626080087,0.2415082239823614,661.0995027999808,169.9408465935857,169.9408465935857
SH-124-B3,30,Peak 4 (Near-specular),16.520841031902176,1.7951258010926683,0.0,0.0,0.0,0.0
SH-124-B3,30,Minor Peak A (Tilt),17.27585833522473,2.5501431044152216,0.0,0.0,0.0,0.0
SH-124-B3,30,Minor Peak B (Tilt),17.899999999999995,3.1742847691904874,0.10008750000000002,708.6630617296905,75.49508187802421,75.49508187802421
SH-124-B3,30,Peak 5 (Tilt),22.41684355318359,7.691128322374082,0.0,0.0,0.0,0.0
SH-124-B3,60,Peak 1 (Tilt),10.114028033869552,-4.602636943579913,0.6499799999857984,4976.141900610645,3442.641284239266,0.17000814437631853
SH-124-B3,60,Peak 1b (Tilt),10.979619984811237,-3.7370449926382285,0.6499779108812722,2821.5433852882625,1952.0204039715766,0.10454950214647349
SH-124-B3,60,Peak 2a (Tilt),12.13617572358589,-2.5804892538635755,0.6366754584874128,2124.381631213361,1439.6259618417466,0.08511199136339531
SH-124-B3,60,Peak 2b (Tilt),12.76278556754892,-1.9538794099005443,0.649905323822047,2576.2969964970994,1782.153240047704,0.11071453700732241
SH-124-B3,60,Peak 3 (Near-specular),15.59014321389835,0.873478236448884,0.0,0.0,0.0,0.0
SH-124-B3,60,Peak 4 (Near-specular),16.670632008924333,1.9539670314748676,0.0,0.0,0.0,0.0
SH-124-B3,60,Minor Peak A (Tilt),17.29993117189706,2.583266194447596,0.0,0.0,0.0,0.0
SH-124-B3,60,Minor Peak B (Tilt),17.497039266349965,2.7803742889005,0.0,0.0,0.0,0.0
SH-124-B3,60,Peak 5 (Tilt),23.199999999999854,8.483335022550389,0.0,0.0,0.0,0.0
SH-124-B3,90,Peak 1 (Tilt),10.299999978418214,-4.40414500702367,0.39501753736061823,788.0564120756085,331.33911425135625,0.0021360298490991987
SH-124-B3,90,Peak 1b (Tilt),10.875116986116725,-3.8290279993251595,0.6499799998843522,1377.2588288137906,952.8281542444593,0.006481518660775803
SH-124-B3,90,Peak 2a (Tilt),11.900772907456144,-2.80337207798574,0.6499796490631942,2049.9409881151955,1418.2086859103551,0.010544527728964833
SH-124-B3,90,Peak 2b (Tilt),12.902385635321785,-1.8017593501200988,0.6499761608195597,1773.8467708637852,1227.1921053240878,0.009879726188752241
SH-124-B3,90,Peak 3 (Near-specular),15.031063877200847,0.3269188917589627,0.0,0.0,0.0,0.0
SH-124-B3,90,Peak 4 (Near-specular),16.470630333174856,1.7664853477329725,0.0,0.0,0.0,0.0
SH-124-B3,90,Minor Peak A (Tilt),17.289988561489942,2.585843576048058,0.0,0.0,0.0,0.0
